pid,material_id,session_status,gen_start,gen_end,gen_sec,learn_start,learn_end,learn_sec,learn_complete,gen_notes,ra_timer
P01,,,,,,,,,,,
P02,,,,,,,,,,,
P03,,,,,,,,,,,
P04,,,,,,,,,,,
P05,,,,,,,,,,,
P06,,,,,,,,,,,
P07,,,,,,,,,,,
P08,,,,,,,,,,,
P09,,,,,,,,,,,
P10,,,,,,,,,,,
